WIDTH: 500
[151] - X: -1.000000, Y: -0.261360
[152] - X: -1.000000, Y: -0.258720
[153] - X: -1.000000, Y: -0.256080
[154] - X: -1.000000, Y: -0.253440
[155] - X: -1.000000, Y: -0.250800
[156] - X: -1.000000, Y: -0.248160
[157] - X: -1.000000, Y: -0.245520
[158] - X: -1.000000, Y: -0.242880
[159] - X: -1.000000, Y: -0.240240
[160] - X: -1.000000, Y: -0.237600
[161] - X: -1.000000, Y: -0.234960
[162] - X: -1.000000, Y: -0.232320
[163] - X: -1.000000, Y: -0.229680
[164] - X: -1.000000, Y: -0.227040
[165] - X: -1.000000, Y: -0.224400
[166] - X: -1.000000, Y: -0.221760
[167] - X: -1.000000, Y: -0.219120
[168] - X: -1.000000, Y: -0.216480
[169] - X: -1.000000, Y: -0.213840
[170] - X: -1.000000, Y: -0.211200
[171] - X: -1.000000, Y: -0.208560
[172] - X: -1.000000, Y: -0.205920
[173] - X: -1.000000, Y: -0.203280
[174] - X: -1.000000, Y: -0.200640
[175] - X: -1.000000, Y: -0.198000
[176] - X: -1.000000, Y: -0.195360
[177] - X: -1.000000, Y: -0.192720
[178] - X: -1.000000, Y: -0.190080
[179] - X: -1.000000, Y: -0.187440
[180] - X: -1.000000, Y: -0.184800
[181] - X: -1.000000, Y: -0.182160
[182] - X: -1.000000, Y: -0.179520
[183] - X: -1.000000, Y: -0.176880
[184] - X: -1.000000, Y: -0.174240
[185] - X: -1.000000, Y: -0.171600
[186] - X: -1.000000, Y: -0.168960
[187] - X: -1.000000, Y: -0.166320
[188] - X: -1.000000, Y: -0.163680
[189] - X: -1.000000, Y: -0.161040
[190] - X: -1.000000, Y: -0.158400
[191] - X: -1.000000, Y: -0.155760
[192] - X: -1.000000, Y: -0.153120
[193] - X: -1.000000, Y: -0.150480
[194] - X: -1.000000, Y: -0.147840
[195] - X: -1.000000, Y: -0.145200
[196] - X: -1.000000, Y: -0.142560
[197] - X: -1.000000, Y: -0.139920
[198] - X: -1.000000, Y: -0.137280
[199] - X: -1.000000, Y: -0.134640
[200] - X: -1.000000, Y: -0.132000
[201] - X: -1.000000, Y: -0.129360
[202] - X: -1.000000, Y: -0.126720
[203] - X: -1.000000, Y: -0.124080
[204] - X: -1.000000, Y: -0.121440
[205] - X: -1.000000, Y: -0.118800
[206] - X: -1.000000, Y: -0.116160
[207] - X: -1.000000, Y: -0.113520
[208] - X: -1.000000, Y: -0.110880
[209] - X: -1.000000, Y: -0.108240
[210] - X: -1.000000, Y: -0.105600
[211] - X: -1.000000, Y: -0.102960
[212] - X: -1.000000, Y: -0.100320
[213] - X: -1.000000, Y: -0.097680
[214] - X: -1.000000, Y: -0.095040
[215] - X: -1.000000, Y: -0.092400
[216] - X: -1.000000, Y: -0.089760
[217] - X: -1.000000, Y: -0.087120
[218] - X: -1.000000, Y: -0.084480
[219] - X: -1.000000, Y: -0.081840
[220] - X: -1.000000, Y: -0.079200
[221] - X: -1.000000, Y: -0.076560
[222] - X: -1.000000, Y: -0.073920
[223] - X: -1.000000, Y: -0.071280
[224] - X: -1.000000, Y: -0.068640
[225] - X: -1.000000, Y: -0.066000
[226] - X: -1.000000, Y: -0.063360
[227] - X: -1.000000, Y: -0.060720
[228] - X: -1.000000, Y: -0.058080
[229] - X: -1.000000, Y: -0.055440
[230] - X: -1.000000, Y: -0.052800
[231] - X: -1.000000, Y: -0.050160
[232] - X: -1.000000, Y: -0.047520
[233] - X: -1.000000, Y: -0.044880
[234] - X: -1.000000, Y: -0.042240
[235] - X: -1.000000, Y: -0.039600
[236] - X: -1.000000, Y: -0.036960
[237] - X: -1.000000, Y: -0.034320
